"timestamp","acc_x","acc_y","acc_z","gyr_x","gyr_x.1","gyr_x.2","mag_x","mag_y","mag_z"
0,63.3333333333333,138.333333333333,-435.333333333333,1974,51.6666666666667,11.6666666666667,494.333333333333,186.333333333333,119.666666666667
6,-22,219,-627,2263.33333333333,26,10.6666666666667,484.333333333333,214.333333333333,31.6666666666667
12,53.3333333333333,-151,-624,2191.66666666667,8.66666666666667,-4,440,231.333333333333,-56
18,33.6666666666667,-316,-653.333333333333,1924,-1.33333333333333,3.66666666666667,386.333333333333,212.333333333333,-106.333333333333
24,108,-682.333333333333,-447.666666666667,1442.33333333333,-20.3333333333333,11,332.666666666667,198.666666666667,-160.666666666667
30,81.3333333333333,-752,-274.666666666667,660.666666666667,-28.6666666666667,-6.33333333333333,300.666666666667,178,-203
36,88.3333333333333,-911.666666666667,-29.6666666666667,-236.666666666667,-12,-19.6666666666667,288.333333333333,168.666666666667,-237.333333333333
42,47.6666666666667,-934,173.666666666667,-1036.66666666667,-18,-22,317.333333333333,161.666666666667,-241
48,139,-993,255.333333333333,-1235,-21,-0.666666666666667,360.333333333333,160.666666666667,-218
54,124,-1174.66666666667,398.333333333333,-1249,-49,-8.66666666666667,403.666666666667,152.666666666667,-172.666666666667
60,151,-1121.66666666667,435.666666666667,-1059.66666666667,-1.66666666666667,-31.6666666666667,433.333333333333,147.333333333333,-110.666666666667
66,14.3333333333333,-886.666666666667,569,-1240,1.66666666666667,-25.3333333333333,442.666666666667,136,-39.6666666666667
72,101,-718.666666666667,642.666666666667,-1349,22.3333333333333,-3,433.666666666667,147.333333333333,18.6666666666667
78,297.333333333333,-636.333333333333,623.666666666667,-1412,31.6666666666667,22.6666666666667,414,113.666666666667,72.3333333333333
84,385,-695.666666666667,554,-1082.33333333333,29,10.6666666666667,411,107.666666666667,106.666666666667
90,385.666666666667,-501.666666666667,472.333333333333,-597.666666666667,37.3333333333333,7.33333333333333,425.666666666667,85.6666666666667,141.333333333333
96,103,-292.666666666667,200.666666666667,-59.3333333333333,-2.66666666666667,-3.33333333333333,452.666666666667,120.333333333333,164.666666666667
102,161.333333333333,-38.3333333333333,-184.333333333333,586,26.3333333333333,-5,492.333333333333,159.333333333333,175.333333333333
